Country,Section ID,Section,Trade Value,Year
Qatar,15,Metals,2348590128,2015
Qatar,16,Machines,774662452,2015
Qatar,17,Transportation,1209945345,2015
Qatar,18,Instruments,75050377,2015
Qatar,19,Weapons,36267123,2015
Qatar,20,Miscellaneous,18168135,2015
Qatar,21,Arts and Antiques,54779201,2015
Qatar,1,Animal Products,22667314,2016
Qatar,2,Vegetable Products,13384307,2016
Qatar,3,Animal and Vegetable Bi-Products,2299133,2016
Qatar,4,Foodstuffs,14573706,2016
Qatar,5,Mineral Products,248533585,2016
Qatar,6,Chemical Products,2686398201,2016
Qatar,7,Plastics and Rubbers,2506778820,2016
Qatar,8,Animal Hides,7528041,2016
Qatar,9,Wood Products,2363191,2016
Qatar,10,Paper Goods,47846777,2016
Qatar,11,Textiles,10599305,2016
Qatar,12,Footwear and Headwear,1835509,2016
Qatar,13,Stone And Glass,5249136,2016
Qatar,14,Precious Metals,323956757,2016
Qatar,15,Metals,1741281685,2016
Qatar,16,Machines,236693582,2016
Qatar,17,Transportation,126201565,2016
Qatar,18,Instruments,41458423,2016
Qatar,19,Weapons,66949,2016
Qatar,20,Miscellaneous,9889437,2016
Qatar,21,Arts and Antiques,19585149,2016
Qatar,1,Animal Products,17067141,2017
Qatar,2,Vegetable Products,7658103,2017
Qatar,3,Animal and Vegetable Bi-Products,1754647,2017
Qatar,4,Foodstuffs,6303213,2017
Qatar,5,Mineral Products,404888249,2017
Qatar,6,Chemical Products,3213631993,2017
Qatar,7,Plastics and Rubbers,2393011313,2017
Qatar,8,Animal Hides,7488440,2017
Qatar,9,Wood Products,878889,2017
Qatar,10,Paper Goods,18726531,2017
Qatar,11,Textiles,13690619,2017
Qatar,12,Footwear and Headwear,2083157,2017
Qatar,13,Stone And Glass,4637019,2017
Qatar,14,Precious Metals,142662596,2017
Qatar,15,Metals,1784995829,2017
Qatar,16,Machines,210125995,2017
Qatar,17,Transportation,511816592,2017
Qatar,18,Instruments,43547065,2017
Qatar,19,Weapons,38108,2017
Qatar,20,Miscellaneous,9950361,2017
Qatar,21,Arts and Antiques,29589417,2017
Qatar,1,Animal Products,14153324,2018
Qatar,2,Vegetable Products,7887266,2018
Qatar,3,Animal and Vegetable Bi-Products,3426681,2018
Qatar,4,Foodstuffs,4416223,2018
Qatar,5,Mineral Products,394278307,2018
Qatar,6,Chemical Products,3948945862,2018
Qatar,7,Plastics and Rubbers,2449478183,2018
Qatar,8,Animal Hides,8860350,2018
Qatar,9,Wood Products,2694083,2018
Qatar,10,Paper Goods,18648672,2018
Qatar,11,Textiles,12128062,2018
Qatar,12,Footwear and Headwear,4286482,2018
Qatar,13,Stone And Glass,3892667,2018
Qatar,14,Precious Metals,356065128,2018
Qatar,15,Metals,2222247142,2018
Qatar,16,Machines,248272451,2018
Qatar,17,Transportation,723700373,2018
Qatar,18,Instruments,103077066,2018
Qatar,19,Weapons,135547,2018
Qatar,20,Miscellaneous,17557792,2018
Qatar,21,Arts and Antiques,1079931,2018
Qatar,1,Animal Products,7126946,2019
Qatar,2,Vegetable Products,2727168,2019
Qatar,3,Animal and Vegetable Bi-Products,4284404,2019
Qatar,4,Foodstuffs,1283517,2019
Qatar,5,Mineral Products,355227971,2019
Qatar,6,Chemical Products,3356857955,2019
Qatar,7,Plastics and Rubbers,1946079364,2019
Qatar,8,Animal Hides,6472627,2019
Qatar,9,Wood Products,742329,2019
Qatar,10,Paper Goods,13295221,2019
Qatar,11,Textiles,8858705,2019
Qatar,12,Footwear and Headwear,2564696,2019
Qatar,13,Stone And Glass,1520885,2019
Qatar,14,Precious Metals,480590887,2019
Qatar,15,Metals,2117715365,2019
Qatar,16,Machines,173269609,2019
Qatar,17,Transportation,541562268,2019
Qatar,18,Instruments,49214259,2019
Qatar,19,Weapons,92912,2019
Qatar,20,Miscellaneous,16267472,2019
Qatar,21,Arts and Antiques,2415514,2019
UAE,1,Animal Products,1326282032,2014
UAE,2,Vegetable Products,2217678383,2014
UAE,3,Animal and Vegetable Bi-Products,794579481,2014
UAE,4,Foodstuffs,3850406161,2014
UAE,5,Mineral Products,2703944480,2014
UAE,6,Chemical Products,5933526279,2014
UAE,7,Plastics and Rubbers,6359785064,2014
UAE,8,Animal Hides,182534446,2014
UAE,9,Wood Products,391775005,2014
UAE,10,Paper Goods,1127737366,2014
